,titles,subtitles,links
0,'WHAT IF',John Terry reveals he thought about suicide from 25th floor of hotel room after 2008 Champions League final penalty miss,https://www.thesun.co.uk/sport/37638994/john-terry-contemplated-suicide-champions-league-final-chelsea/
1,'OUR SPECIAL BOY',Scholes sends heartfelt message to non-verbal autistic son on birthday,https://www.thesun.co.uk/sport/37637164/scholes-autistic-son-aiden-man-utd/
2,GUNNER HURT,Ben White facing at least a month on sidelines in huge Arsenal blow,https://www.thesun.co.uk/sport/37640648/ben-white-injury-blow-arsenal/
3,CODE OF SIL-ENZ,Enzo Maresca refuses TEN TIMES to expand on 'worst 48 hours' swipe,https://www.thesun.co.uk/sport/37642753/enzo-maresca-worst-48-hours-chelsea/
4,MO BAD NEWS,Liverpool face losing millions if they sell Salah as wildly low value revealed,https://www.thesun.co.uk/sport/37640400/liverpool-lose-millions-sell-mo-salah-transfer-value/
5,STUNNER,Win a £900k 4-Bedroom Luxury Home or £700k alternative from £1.79 with our code,https://www.thesun.co.uk/sport/35120440/win-house-7dp/
6,'JUST BEING SICK',Chloe Kelly reveals 'my hair was falling out & I thought I was having heart attack' during anxiety hell before Arsenal move,https://www.thesun.co.uk/sport/37636371/chloe-kelly-hair-heart-attack-transfer-arsenal-man-city/
7,SKY THIGH,Sky Sports presenter stuns in 'incredible' outfit on birthday night out,https://www.thesun.co.uk/sport/37636128/kate-tracey-sky-sports-outfit-birthday-london/
8,HORROR INJURY,Burn health update after star rushed to hospital with breathing difficulties,https://www.thesun.co.uk/sport/37637189/dan-burn-update-newcastle-sunderland/
9,FANCY A NAP?,Scott McTominay 'in contact with Kobbie Mainoo over stunning Napoli transfer',https://www.thesun.co.uk/sport/37638473/mctominay-mainoo-napoli-amorim-man-utd-transfer/
10,CHERRY PICK,Man Utd weighing up transfer for Alex Scott in summer midfield overhaul,https://www.thesun.co.uk/sport/37641371/man-utd-transfer-bournemouth-alex-scott-ruben-amorim-overhaul/
11,BUILD UP,"Man Utd vs Bournemouth: Get £50 free bets with Betfred, plus 10/1 Bet Builder tip",https://www.thesun.co.uk/sport/37636935/man-utd-bournemouth-betfred-free-bets-tips/
